Date,USDT-USD
2018-07-18,3.844377488060701
2018-07-19,3.8418403483670716
2018-07-20,3.832443265948314
2018-07-23,3.761358063651585
2018-07-24,3.7671876229873646
2018-07-25,3.741570836820415
2018-07-26,3.6788463967667155
2018-07-27,3.7335088021627603
2018-07-30,3.707055038955474
2018-07-31,3.726262145304205
2018-08-01,3.750782072829722
2018-08-02,3.7494727840285123
2018-08-03,3.745007755947782
2018-08-06,3.7058171784009346
2018-08-07,3.740250858081936
2018-08-08,3.7568384215815342
2018-08-09,3.7860854769887733
2018-08-10,3.805603253470452
2018-08-13,3.880590992486788
2018-08-14,3.8724618075643775
2018-08-15,3.8692305204219797
2018-08-16,3.905358641142243
2018-08-17,3.895159119597281
2018-08-20,3.930874062702685
2018-08-21,3.968776268061447
2018-08-22,4.049917029878998
