Date,BOVA11.SA
2012-04-20,61.59000015258789
2012-04-23,60.61000061035156
2012-04-24,61.060001373291016
2012-04-25,60.939998626708984
2012-04-26,61.2400016784668
2012-04-27,60.810001373291016
2012-04-30,60.900001525878906
2012-05-02,61.5
2012-05-03,61.2400016784668
2012-05-04,59.939998626708984
2012-05-07,60.34000015258789
2012-05-08,59.38999938964844
2012-05-09,58.900001525878906
2012-05-10,58.779998779296875
2012-05-11,58.54999923706055
2012-05-14,56.650001525878906
2012-05-15,55.439998626708984
2012-05-16,55.119998931884766
2012-05-17,53.349998474121094
2012-05-18,53.63999938964844
2012-05-21,55.689998626708984
2012-05-22,54.18000030517578
2012-05-23,53.88999938964844
2012-05-24,53.310001373291016
2012-05-25,53.70000076293945
2012-05-28,54.41999816894531
2012-05-29,53.869998931884766
2012-05-30,53.0
2012-05-31,53.599998474121094
2012-06-01,52.599998474121094
2012-06-04,52.59000015258789
2012-06-05,51.720001220703125
2012-06-06,53.290000915527344
2012-06-08,53.650001525878906
2012-06-11,53.279998779296875
2012-06-12,54.36000061035156
2012-06-13,54.849998474121094
2012-06-14,54.599998474121094
2012-06-15,55.290000915527344
2012-06-18,55.43000030517578
2012-06-19,56.400001525878906
2012-06-20,56.36000061035156
2012-06-21,54.709999084472656
2012-06-22,54.599998474121094
2012-06-25,53.0099983215332
2012-06-26,53.0
2012-06-27,52.279998779296875
2012-06-28,51.93000030517578
2012-06-29,53.41999816894531
2012-07-02,53.86000061035156
2012-07-03,55.0
2012-07-04,55.20000076293945
2012-07-05,55.560001373291016
2012-07-06,54.59000015258789
2012-07-10,52.75
2012-07-11,52.599998474121094
2012-07-12,52.54999923706055
2012-07-13,53.54999923706055
2012-07-16,52.650001525878906
2012-07-17,53.04999923706055
2012-07-18,53.689998626708984
2012-07-19,54.400001525878906
2012-07-20,53.16999816894531
2012-07-23,52.2400016784668
2012-07-24,51.849998474121094
2012-07-25,51.689998626708984
2012-07-26,53.119998931884766
2012-07-27,55.650001525878906
2012-07-30,56.45000076293945
2012-07-31,55.099998474121094
2012-08-01,55.47999954223633
2012-08-02,54.599998474121094
2012-08-03,56.369998931884766
2012-08-06,57.369998931884766
2012-08-07,56.650001525878906
2012-08-08,57.970001220703125
2012-08-09,57.83000183105469
2012-08-10,58.29999923706055
2012-08-13,58.060001373291016
2012-08-14,57.119998931884766
2012-08-15,57.2400016784668
2012-08-16,58.349998474121094
2012-08-17,58.16999816894531
2012-08-20,58.29999923706055
2012-08-21,58.0
2012-08-22,58.45000076293945
2012-08-23,57.5099983215332
2012-08-24,57.41999816894531
2012-08-27,57.18000030517578
2012-08-28,57.400001525878906
2012-08-29,56.29999923706055
2012-08-30,56.16999816894531
2012-08-31,56.150001525878906
2012-09-03,56.22999954223633
2012-09-04,55.25
2012-09-05,55.86000061035156
2012-09-06,57.29999923706055
2012-09-10,57.33000183105469
2012-09-11,58.369998931884766
2012-09-12,58.970001220703125
2012-09-13,60.849998474121094
2012-09-14,61.16999816894531
2012-09-17,60.720001220703125
2012-09-18,60.720001220703125
2012-09-19,60.47999954223633
2012-09-20,60.650001525878906
2012-09-21,60.38999938964844
2012-09-24,60.779998779296875
2012-09-25,59.400001525878906
2012-09-26,59.400001525878906
2012-09-27,59.02000045776367
2012-09-28,58.150001525878906
2012-10-01,58.5
2012-10-02,58.150001525878906
2012-10-03,57.54999923706055
2012-10-04,57.25
2012-10-05,57.470001220703125
2012-10-08,58.2400016784668
2012-10-09,58.0
2012-10-10,57.33000183105469
2012-10-11,58.25
2012-10-15,58.560001373291016
2012-10-16,58.65999984741211
2012-10-17,59.400001525878906
