Date,IRFM11.SA
2021-12-10,64.23999786376953
2021-12-13,64.33000183105469
2021-12-14,64.27999877929688
2021-12-15,64.2300033569336
2021-12-16,64.13999938964844
2021-12-17,64.01000213623047
2021-12-20,64.26000213623047
2021-12-21,64.4800033569336
2021-12-22,64.37999725341797
2021-12-23,64.29000091552734
2021-12-27,64.31999969482422
2021-12-28,64.31999969482422
2021-12-29,64.2699966430664
2021-12-30,64.33000183105469
2022-01-03,64.05999755859375
2022-01-04,63.7599983215332
2022-01-05,63.56999969482422
2022-01-06,63.63999938964844
2022-01-07,63.59000015258789
2022-01-10,63.4900016784668
2022-01-11,63.4900016784668
2022-01-13,63.869998931884766
2022-01-14,63.90999984741211
2022-01-18,63.619998931884766
2022-01-19,63.86000061035156
2022-01-20,64.12999725341797
2022-01-21,63.95000076293945
2022-01-24,64.13999938964844
2022-01-25,64.11000061035156
2022-01-26,64.13999938964844
2022-01-27,63.900001525878906
2022-01-28,63.9900016784668
2022-01-31,64.0199966430664
2022-02-01,64.37000274658203
2022-02-02,64.37999725341797
2022-02-03,64.55000305175781
2022-02-04,64.41999816894531
2022-02-07,64.48999786376953
2022-02-08,64.33999633789062
2022-02-09,64.30999755859375
2022-02-10,64.29000091552734
2022-02-11,64.18000030517578
2022-02-14,64.11000061035156
2022-02-15,64.30000305175781
2022-02-16,64.33000183105469
2022-02-17,64.26000213623047
2022-02-18,64.4000015258789
2022-02-21,64.4800033569336
2022-02-22,64.4000015258789
2022-02-23,64.5199966430664
2022-02-24,64.41000366210938
2022-02-25,64.41000366210938
2022-03-02,64.26000213623047
2022-03-03,64.19999694824219
2022-03-04,63.97999954223633
2022-03-07,63.7599983215332
2022-03-08,63.630001068115234
2022-03-09,63.88999938964844
2022-03-10,63.7400016784668
2022-03-11,63.619998931884766
2022-03-14,63.52000045776367
2022-03-15,63.650001525878906
2022-03-16,63.75
2022-03-17,63.970001220703125
2022-03-18,64.19000244140625
2022-03-21,64.05000305175781
2022-03-22,64.26000213623047
2022-03-23,64.22000122070312
2022-03-24,64.6500015258789
2022-03-25,64.77999877929688
2022-03-28,64.88999938964844
2022-03-29,65.05000305175781
2022-03-30,64.91999816894531
2022-03-31,65.05000305175781
2022-04-01,65.30000305175781
2022-04-04,65.37000274658203
2022-04-05,65.19999694824219
2022-04-06,65.0999984741211
2022-04-07,65.02999877929688
2022-04-08,64.76000213623047
2022-04-11,64.55000305175781
2022-04-12,64.58000183105469
2022-04-13,64.51000213623047
2022-04-14,64.47000122070312
2022-04-18,64.5999984741211
2022-04-19,64.58000183105469
2022-04-20,64.6500015258789
2022-04-22,64.63999938964844
2022-04-25,64.73999786376953
2022-04-26,64.69000244140625
2022-04-27,64.80999755859375
2022-04-28,64.80000305175781
2022-04-29,64.81999969482422
2022-05-02,64.6500015258789
2022-05-03,64.69000244140625
2022-05-04,64.81999969482422
2022-05-05,64.55999755859375
2022-05-06,64.41000366210938
2022-05-09,64.54000091552734
2022-05-10,64.62999725341797
2022-05-11,64.51000213623047
2022-05-12,64.44000244140625
2022-05-13,64.5
2022-05-16,64.72000122070312
2022-05-17,64.7300033569336
2022-05-18,64.7699966430664
2022-05-19,65.0
2022-05-20,65.19999694824219
2022-05-23,65.29000091552734
2022-05-24,65.05000305175781
2022-05-25,65.01000213623047
2022-05-26,65.16000366210938
2022-05-27,65.25
2022-05-30,64.97000122070312
2022-05-31,65.08000183105469
2022-06-01,65.0199966430664
2022-06-02,64.94999694824219
2022-06-03,65.01000213623047
2022-06-06,65.08999633789062
2022-06-07,64.91000366210938
2022-06-08,64.8499984741211
2022-06-09,65.08999633789062
2022-06-10,65.12000274658203
2022-06-13,64.94999694824219
2022-06-14,64.58999633789062
2022-06-15,64.83999633789062
2022-06-17,65.1500015258789
2022-06-20,65.23999786376953
2022-06-21,65.27999877929688
2022-06-22,65.44000244140625
2022-06-23,65.55999755859375
2022-06-24,65.38999938964844
2022-06-27,65.30999755859375
2022-06-28,65.01000213623047
2022-06-29,65.04000091552734
2022-06-30,65.2300033569336
2022-07-01,65.41000366210938
2022-07-04,65.2699966430664
2022-07-05,65.16999816894531
2022-07-06,65.18000030517578
2022-07-07,65.29000091552734
2022-07-08,65.19000244140625
2022-07-11,65.02999877929688
2022-07-12,65.16000366210938
2022-07-13,65.19000244140625
2022-07-14,65.06999969482422
2022-07-15,65.19999694824219
2022-07-18,65.05000305175781
2022-07-19,64.94999694824219
2022-07-20,65.06999969482422
2022-07-21,65.0
2022-07-22,65.19999694824219
2022-07-25,65.44000244140625
2022-07-26,65.41000366210938
2022-07-27,65.52999877929688
2022-07-28,65.76000213623047
2022-07-29,65.9800033569336
2022-08-01,66.30999755859375
2022-08-02,66.19999694824219
2022-08-03,66.30000305175781
2022-08-04,66.69999694824219
2022-08-05,66.88999938964844
2022-08-08,67.2300033569336
2022-08-09,67.13999938964844
2022-08-10,67.20999908447266
2022-08-11,67.16999816894531
2022-08-12,67.44999694824219
2022-08-15,67.56999969482422
2022-08-16,67.55000305175781
2022-08-17,67.48999786376953
2022-08-18,67.4000015258789
2022-08-19,67.25
2022-08-22,67.19000244140625
2022-08-23,67.45999908447266
2022-08-24,67.41000366210938
2022-08-25,67.30000305175781
2022-08-26,67.41999816894531
2022-08-29,67.37000274658203
2022-08-30,67.4000015258789
2022-08-31,67.55999755859375
2022-09-01,67.8499984741211
2022-09-02,67.94000244140625
2022-09-05,67.94999694824219
2022-09-06,67.7300033569336
2022-09-08,68.01000213623047
2022-09-09,68.23999786376953
2022-09-12,68.18000030517578
2022-09-13,67.9000015258789
2022-09-14,68.23999786376953
2022-09-15,67.81999969482422
2022-09-16,67.83000183105469
2022-09-19,67.97000122070312
2022-09-20,68.0
2022-09-21,68.30000305175781
2022-09-22,68.55000305175781
2022-09-23,68.47000122070312
2022-09-26,68.18000030517578
2022-09-27,68.41999816894531
2022-09-28,68.23999786376953
2022-09-29,68.36000061035156
2022-09-30,68.5199966430664
2022-10-03,68.79000091552734
2022-10-04,68.8499984741211
2022-10-05,68.76000213623047
2022-10-06,68.83000183105469
2022-10-07,68.76000213623047
2022-10-10,68.86000061035156
2022-10-11,68.72000122070312
2022-10-13,68.7300033569336
2022-10-14,68.66000366210938
2022-10-17,68.80999755859375
2022-10-18,68.87000274658203
2022-10-19,68.88999938964844
2022-10-20,68.81999969482422
2022-10-21,68.86000061035156
2022-10-24,68.83000183105469
2022-10-25,68.83000183105469
2022-10-26,68.75
2022-10-27,68.8499984741211
2022-10-28,68.97000122070312
2022-10-31,69.08000183105469
2022-11-01,69.18000030517578
2022-11-03,69.11000061035156
2022-11-04,69.23999786376953
2022-11-07,69.0
2022-11-08,68.9000015258789
2022-11-09,68.86000061035156
2022-11-10,68.20999908447266
2022-11-11,67.63999938964844
2022-11-14,68.01000213623047
2022-11-16,67.63999938964844
2022-11-17,67.47000122070312
2022-11-18,66.63999938964844
2022-11-21,67.5199966430664
2022-11-22,67.4000015258789
2022-11-23,67.0
2022-11-24,67.58000183105469
2022-11-25,67.3499984741211
2022-11-28,67.58000183105469
2022-11-29,68.11000061035156
2022-11-30,68.36000061035156
2022-12-01,68.11000061035156
2022-12-02,68.41999816894531
2022-12-05,68.19999694824219
2022-12-06,68.13999938964844
2022-12-07,68.29000091552734
2022-12-08,68.33999633789062
2022-12-09,68.27999877929688
2022-12-12,68.04000091552734
2022-12-13,67.9000015258789
2022-12-14,67.7300033569336
2022-12-15,67.98999786376953
2022-12-16,67.70999908447266
2022-12-19,67.76000213623047
2022-12-20,68.25
2022-12-21,68.38999938964844
2022-12-22,68.58000183105469
2022-12-23,68.80000305175781
2022-12-26,68.77999877929688
2022-12-27,68.73999786376953
2022-12-28,69.05000305175781
2022-12-29,69.18000030517578
2023-01-02,69.30000305175781
2023-01-03,69.0
2023-01-04,68.94000244140625
2023-01-05,69.5
2023-01-06,69.44999694824219
2023-01-09,69.44999694824219
2023-01-10,69.77999877929688
2023-01-11,69.98999786376953
2023-01-12,70.16999816894531
2023-01-13,70.19999694824219
2023-01-16,69.94999694824219
2023-01-17,70.12999725341797
2023-01-18,70.05000305175781
2023-01-19,69.8499984741211
2023-01-20,69.83000183105469
2023-01-23,69.66000366210938
2023-01-24,69.8499984741211
2023-01-25,69.97000122070312
2023-01-26,70.0
2023-01-27,69.91000366210938
2023-01-30,69.86000061035156
2023-01-31,70.0
2023-02-01,69.98999786376953
2023-02-02,70.0199966430664
2023-02-03,69.69999694824219
2023-02-06,69.5999984741211
2023-02-07,69.87000274658203
2023-02-08,69.91999816894531
2023-02-09,70.0
2023-02-10,69.98999786376953
2023-02-13,70.0
2023-02-14,70.02999877929688
2023-02-15,70.43000030517578
2023-02-16,70.4800033569336
2023-02-17,70.5199966430664
2023-02-22,70.41000366210938
2023-02-23,70.56999969482422
2023-02-24,70.33999633789062
2023-02-27,70.66000366210938
2023-02-28,70.56999969482422
2023-03-01,70.54000091552734
2023-03-02,70.43000030517578
2023-03-03,70.4000015258789
2023-03-06,70.6500015258789
2023-03-07,70.7699966430664
2023-03-08,70.98999786376953
2023-03-09,71.20999908447266
2023-03-10,71.2300033569336
2023-03-13,71.41999816894531
2023-03-14,71.30000305175781
2023-03-15,71.4800033569336
2023-03-16,71.51000213623047
2023-03-17,71.61000061035156
2023-03-20,71.69000244140625
2023-03-21,71.69000244140625
2023-03-22,71.87000274658203
2023-03-23,71.69999694824219
2023-03-24,71.9800033569336
2023-03-27,72.12000274658203
2023-03-28,72.0199966430664
2023-03-29,71.91999816894531
2023-03-30,72.16999816894531
2023-03-31,72.26000213623047
2023-04-03,72.33999633789062
2023-04-04,72.37000274658203
