Date,IMAB11.SA
2021-02-25,80.0
2021-02-26,79.81999969482422
2021-03-01,79.5999984741211
2021-03-02,79.29000091552734
2021-03-03,79.0
2021-03-04,80.06999969482422
2021-03-05,80.79000091552734
2021-03-08,80.66000366210938
2021-03-09,79.80999755859375
2021-03-10,80.0
2021-03-11,80.48999786376953
2021-03-12,80.25
2021-03-15,80.12999725341797
2021-03-16,80.55000305175781
2021-03-17,80.44999694824219
2021-03-18,80.36000061035156
2021-03-19,79.80000305175781
2021-03-22,79.30000305175781
2021-03-23,79.25
2021-03-24,78.86000061035156
2021-03-25,79.0
2021-03-26,79.2300033569336
2021-03-29,79.19999694824219
2021-03-30,79.45999908447266
2021-03-31,79.44000244140625
2021-04-01,79.56999969482422
2021-04-05,79.54000091552734
2021-04-06,79.3499984741211
2021-04-07,79.2300033569336
2021-04-08,79.86000061035156
2021-04-09,79.45999908447266
2021-04-12,79.4000015258789
2021-04-13,79.16999816894531
2021-04-14,79.11000061035156
2021-04-15,79.41000366210938
2021-04-16,79.75
2021-04-19,79.86000061035156
2021-04-20,80.30000305175781
2021-04-22,80.80000305175781
2021-04-23,81.05000305175781
2021-04-26,81.01000213623047
2021-04-27,80.9800033569336
2021-04-28,80.98999786376953
2021-04-29,80.9800033569336
2021-04-30,80.93000030517578
2021-05-03,80.75
2021-05-04,80.38999938964844
2021-05-05,80.5199966430664
2021-05-06,80.48999786376953
2021-05-07,80.68000030517578
2021-05-10,80.55999755859375
2021-05-11,80.66000366210938
2021-05-12,80.48999786376953
2021-05-13,80.37000274658203
2021-05-14,80.62999725341797
2021-05-17,80.66000366210938
2021-05-18,80.55999755859375
2021-05-19,80.3499984741211
2021-05-20,80.55000305175781
2021-05-21,80.75
2021-05-24,80.61000061035156
2021-05-25,80.91000366210938
2021-05-26,80.87000274658203
2021-05-27,81.19000244140625
2021-05-28,81.16000366210938
2021-05-31,81.41999816894531
2021-06-01,81.68000030517578
2021-06-02,81.94000244140625
2021-06-04,82.58999633789062
2021-06-07,82.12000274658203
2021-06-08,81.86000061035156
2021-06-09,81.48999786376953
2021-06-10,81.0999984741211
2021-06-11,81.0999984741211
2021-06-14,81.25
2021-06-15,80.94000244140625
2021-06-16,81.0
2021-06-17,80.75
2021-06-18,79.62000274658203
2021-06-21,80.0
2021-06-22,79.72000122070312
2021-06-23,79.80000305175781
2021-06-24,80.1500015258789
2021-06-25,80.18000030517578
2021-06-28,80.05999755859375
2021-06-29,80.06999969482422
2021-06-30,80.1500015258789
2021-07-01,80.5
2021-07-02,80.68000030517578
2021-07-05,80.69000244140625
2021-07-06,80.83999633789062
2021-07-07,81.0
2021-07-08,80.75
2021-07-12,80.9000015258789
2021-07-13,80.76000213623047
2021-07-14,81.0
2021-07-15,81.18000030517578
2021-07-16,81.4800033569336
2021-07-19,81.56999969482422
2021-07-20,81.6500015258789
2021-07-21,81.6500015258789
2021-07-22,81.52999877929688
2021-07-23,81.5199966430664
2021-07-26,81.30999755859375
2021-07-27,81.27999877929688
2021-07-28,81.0
2021-07-29,81.36000061035156
2021-07-30,80.66000366210938
2021-08-02,80.80999755859375
2021-08-03,80.58999633789062
2021-08-04,81.16999816894531
2021-08-05,80.0199966430664
2021-08-06,80.22000122070312
2021-08-09,80.06999969482422
2021-08-10,80.05000305175781
2021-08-11,80.05999755859375
2021-08-12,79.93000030517578
2021-08-13,79.30999755859375
2021-08-16,78.62999725341797
2021-08-17,79.0
2021-08-18,78.37000274658203
2021-08-19,78.45999908447266
2021-08-20,79.30000305175781
2021-08-23,79.19999694824219
2021-08-24,79.4000015258789
2021-08-25,80.19999694824219
2021-08-26,80.43000030517578
2021-08-27,80.69999694824219
2021-08-30,80.61000061035156
2021-08-31,79.75
2021-09-01,78.80000305175781
2021-09-02,79.80000305175781
2021-09-03,79.80999755859375
2021-09-06,79.4800033569336
2021-09-08,79.56999969482422
2021-09-09,79.58999633789062
2021-09-10,80.0
2021-09-13,80.0999984741211
2021-09-14,80.5
2021-09-15,80.19000244140625
2021-09-16,80.54000091552734
2021-09-17,80.30000305175781
2021-09-20,80.05000305175781
2021-09-21,80.31999969482422
2021-09-22,80.4000015258789
2021-09-23,80.18000030517578
2021-09-24,79.93000030517578
2021-09-27,79.9000015258789
2021-09-28,79.91999816894531
2021-09-29,80.05000305175781
2021-09-30,80.13999938964844
2021-10-01,80.0999984741211
2021-10-04,80.30999755859375
2021-10-05,79.80000305175781
2021-10-06,80.19999694824219
2021-10-07,79.87999725341797
2021-10-08,80.51000213623047
2021-10-11,80.23999786376953
2021-10-13,80.12000274658203
2021-10-14,79.98999786376953
2021-10-15,79.91999816894531
2021-10-18,79.54000091552734
2021-10-19,77.0
2021-10-20,79.0
2021-10-21,78.4000015258789
2021-10-22,78.19999694824219
2021-10-25,78.33000183105469
2021-10-26,77.7699966430664
2021-10-27,77.7699966430664
2021-10-28,77.76000213623047
2021-10-29,77.66000366210938
2021-11-01,77.76000213623047
2021-11-03,79.0
2021-11-04,78.4800033569336
2021-11-05,78.98999786376953
2021-11-08,78.45999908447266
2021-11-09,78.8499984741211
2021-11-10,78.48999786376953
2021-11-11,78.9000015258789
2021-11-12,79.16000366210938
2021-11-16,78.44999694824219
2021-11-17,78.98999786376953
2021-11-18,79.08999633789062
2021-11-19,78.97000122070312
2021-11-22,79.01000213623047
2021-11-23,78.97000122070312
2021-11-24,79.3499984741211
2021-11-25,79.31999969482422
2021-11-26,79.68000030517578
2021-11-29,79.5999984741211
2021-11-30,79.73999786376953
2021-12-01,80.02999877929688
2021-12-02,80.2699966430664
2021-12-03,80.68000030517578
2021-12-06,80.62000274658203
2021-12-07,80.91999816894531
2021-12-08,81.23999786376953
2021-12-09,80.91000366210938
2021-12-10,81.5
2021-12-13,81.44999694824219
2021-12-14,81.3499984741211
2021-12-15,81.0999984741211
2021-12-16,80.87999725341797
2021-12-17,80.3499984741211
2021-12-20,80.12999725341797
2021-12-21,80.44000244140625
2021-12-22,80.4000015258789
2021-12-23,80.54000091552734
2021-12-27,80.25
2021-12-28,80.33000183105469
2021-12-29,81.69999694824219
2021-12-30,78.80000305175781
2022-01-03,80.16999816894531
2022-01-04,79.94000244140625
2022-01-05,79.68000030517578
2022-01-06,79.5
2022-01-07,79.33999633789062
2022-01-10,78.97000122070312
2022-01-11,79.0
2022-01-12,78.98999786376953
2022-01-13,79.30000305175781
2022-01-14,79.33999633789062
2022-01-17,78.83000183105469
2022-01-18,78.83000183105469
2022-01-19,79.19000244140625
2022-01-20,79.62000274658203
2022-01-21,79.44999694824219
2022-01-24,79.9800033569336
2022-01-25,79.6500015258789
2022-01-26,80.05000305175781
2022-01-27,79.23999786376953
2022-01-28,79.41999816894531
2022-01-31,79.62000274658203
2022-02-01,79.62999725341797
2022-02-02,79.95999908447266
2022-02-03,80.45999908447266
2022-02-04,80.05000305175781
2022-02-07,80.31999969482422
2022-02-08,80.04000091552734
2022-02-09,79.77999877929688
2022-02-10,79.70999908447266
2022-02-11,79.70999908447266
2022-02-14,79.75
2022-02-15,79.93000030517578
2022-02-16,79.94000244140625
2022-02-17,80.04000091552734
2022-02-18,80.02999877929688
2022-02-21,80.0199966430664
2022-02-22,79.83999633789062
2022-02-23,79.88999938964844
2022-02-24,79.80999755859375
2022-02-25,79.79000091552734
2022-03-02,79.97000122070312
2022-03-03,80.02999877929688
2022-03-04,79.83999633789062
2022-03-07,79.88999938964844
2022-03-08,79.5
2022-03-09,79.80000305175781
2022-03-10,79.69999694824219
2022-03-11,79.94000244140625
2022-03-14,79.77999877929688
2022-03-15,79.79000091552734
2022-03-16,79.75
2022-03-17,80.0999984741211
2022-03-18,80.66000366210938
2022-03-21,80.80000305175781
2022-03-22,80.95999908447266
2022-03-23,81.16000366210938
2022-03-24,82.22000122070312
2022-03-25,82.73999786376953
2022-03-28,82.80999755859375
2022-03-29,82.55000305175781
2022-03-30,82.30000305175781
2022-03-31,82.81999969482422
2022-04-01,82.83000183105469
2022-04-04,83.68000030517578
2022-04-05,83.0
2022-04-06,83.0
2022-04-07,82.8499984741211
2022-04-08,83.01000213623047
2022-04-11,82.48999786376953
2022-04-12,82.68000030517578
2022-04-13,83.0
2022-04-14,82.63999938964844
2022-04-18,82.9000015258789
2022-04-19,82.70999908447266
2022-04-20,82.7699966430664
2022-04-22,82.76000213623047
