Date,AYD.F
2021-04-20,103.60686996873483
2021-04-21,99.79572779743192
2021-04-22,100.63400020217887
2021-04-23,97.93024554447948
2021-04-26,100.37284532609556
2021-04-27,101.61536192811582
2021-04-28,99.87256544679258
2021-04-29,101.98575700277706
2021-04-30,98.95886816366192
2021-05-03,100.31769062881858
2021-05-04,100.82051837600329
2021-05-05,100.79745507521055
2021-05-06,99.6958247026214
2021-05-07,99.76400493240361
2021-05-10,103.49978235976414
2021-05-11,98.87748597652445
2021-05-12,94.21240009078974
2021-05-13,93.23350587606046
2021-05-14,94.57322740342715
2021-05-17,93.16507813971339
2021-05-18,94.5569904685135
2021-05-19,94.85219019156648
2021-05-20,95.57395791200634
2021-05-21,96.82049989700317
2021-05-25,100.7915372440948
2021-05-26,101.1638503074646
