Date,GC=F
2013-03-07,23752.400553458254
2013-03-08,23243.554720759
2013-03-11,22436.722957325823
2013-03-12,23358.028337617
2013-03-13,23708.99446528243
2013-03-14,24029.687975299476
2013-03-15,24082.80593011923
2013-03-18,24602.228015880486
2013-03-19,24905.316616410066
2013-03-20,24836.555562419417
2013-03-21,25024.570216884007
2013-03-22,25962.336023114185
2013-03-25,26008.98729352759
2013-03-26,25840.578083618908
2013-03-27,26473.63453536181
2013-03-28,26041.340451260097
2013-04-01,26586.753216761073
2013-04-02,25971.350826488528
2013-04-03,25781.99979081844
2013-04-04,25888.145246330994
2013-04-05,25857.904321354927
2013-04-08,24317.479390634144
2013-04-09,24860.41057392022
2013-04-10,23979.39284533147
2013-04-11,23713.980256282488
2013-04-12,22828.27829000525
2013-04-15,20334.8615882587
2013-04-16,22100.179761460076
2013-04-17,21441.87578594027
2013-04-18,22143.102895221185
2013-04-19,21518.856897075013
2013-04-22,22973.374010952186
2013-04-23,23262.88248795567
2013-04-24,23624.133015261035
2013-04-25,23798.424045795666
2013-04-26,23225.056202073378
2013-04-29,23165.36540693666
2013-04-30,23824.88392774376
2013-05-01,23210.296279840924
2013-05-02,23563.14039698838
2013-05-03,23753.798664859776
2013-05-06,23744.313842803724
2013-05-07,23458.77974520215
2013-05-08,23857.148922777913
2013-05-09,23533.7190358749
2013-05-10,23419.383881857182
2013-05-13,23592.0574647354
2013-05-14,23079.180236780823
2013-05-15,23177.67401289227
2013-05-16,23090.17969184433
2013-05-17,22842.350846365498
2013-05-20,23563.56124808349
2013-05-21,23661.450972313047
2013-05-22,23352.729975252525
2013-05-23,24373.732598149134
2013-05-24,24069.717912191813
2013-05-28,24523.05240965772
2013-05-29,25732.877572409052
2013-05-30,27834.689858102127
2013-05-31,27482.842916202248
2013-06-03,26930.501290185934
2013-06-04,28290.188306306096
2013-06-05,28460.95913895242
2013-06-06,28872.781108135307
2013-06-07,28328.184060676114
2013-06-10,28393.7291118562
2013-06-11,28205.285214425894
2013-06-12,28508.43670199648
2013-06-13,29584.015897858633
2013-06-14,27854.140777215536
2013-06-17,26708.90042486132
2013-06-18,30179.929162958197
2013-06-19,30886.77977979394
2013-06-20,31470.421396735357
2013-06-21,33439.01469113521
2013-06-24,32059.10377145532
2013-06-25,31277.391434234545
2013-06-26,29342.032935264237
2013-06-27,27672.414945030185
2013-06-28,28455.13642102666
2013-07-01,28846.741768966585
2013-07-02,30375.025983004147
2013-07-03,31930.514857124075
2013-07-05,30864.841588766212
2013-07-08,31508.705178569966
2013-07-09,32588.882757319567
2013-07-10,32203.16292167433
2013-07-11,34013.66561917854
2013-07-12,32865.2179875861
2013-07-15,33603.99801361793
2013-07-16,31143.912271422367
2013-07-17,32681.36889827735
2013-07-18,31365.162753783585
2013-07-19,31515.138001632167
2013-07-22,33934.945800943766
2013-07-23,33028.517040966755
2013-07-24,31480.69598815212
2013-07-25,33674.923857328955
2013-07-26,33317.14167685019
2013-07-29,34312.53378668838
2013-07-30,34945.19282806583
2013-07-31,35428.151206347255
2013-08-01,35037.6796830331
2013-08-02,36752.55627859353
2013-08-05,35448.29923095094
2013-08-06,36071.83747061599
2013-08-07,35690.855155001685
2013-08-08,36940.996502171656
2013-08-09,35385.70471864452
2013-08-12,35352.1104676948
2013-08-13,35985.96142352613
2013-08-14,38030.325422075264
2013-08-15,39547.9825686083
2013-08-16,40972.13166294603
2013-08-19,44390.273536883804
2013-08-20,46289.44689851987
2013-08-21,45012.66008177824
2013-08-22,49227.12299961275
2013-08-23,48865.61594146824
