Date,SI=F
2015-06-03,1577.3768922645472
2015-06-04,1550.5347481439142
2015-06-05,1552.9636255804867
2015-06-08,1549.8341415743878
2015-06-09,1491.829407683825
2015-06-10,1464.6651931380097
2015-06-11,1500.0883759002318
2015-06-12,1436.6612371183555
2015-06-15,1517.0985141167253
2015-06-16,1518.9538091236602
2015-06-17,1447.3665994729288
2015-06-18,1398.1248013459635
2015-06-19,1407.8944620226166
2015-06-22,1477.2526027727288
2015-06-23,1423.8580359350738
2015-06-24,1414.7409517992658
2015-06-25,1450.0431711559427
2015-06-26,1499.4541790666635
2015-06-29,1495.1743274989428
2015-06-30,1464.1666842242494
2015-07-01,1451.1433359144537
2015-07-02,1520.9883407768698
2015-07-06,1507.8270939432985
2015-07-07,1444.2644358362825
2015-07-08,1546.410485505694
2015-07-09,1673.7516684989291
2015-07-10,1665.141159079934
2015-07-13,1530.6031221087385
2015-07-14,1470.255316272769
2015-07-15,1454.394705371288
2015-07-16,1446.5397263813836
2015-07-17,1460.2299285673023
2015-07-20,1517.7197605282886
2015-07-21,1538.0223457997795
2015-07-22,1489.3909498893108
2015-07-23,1578.0849171353166
2015-07-24,1684.2127226096577
2015-07-27,1851.2374136110436
2015-07-28,1868.5720308709122
2015-07-29,1865.6573571220647
2015-07-30,1793.2595324773974
2015-07-31,1903.7336590634904
2015-08-03,1984.4792899923712
2015-08-04,2058.4251629366145
2015-08-05,2099.9461744252094
2015-08-06,2160.94116489378
2015-08-07,2304.713791850967
2015-08-10,2378.2915888264156
2015-08-11,2129.1815230409106
2015-08-12,2245.9130894784016
2015-08-13,2245.3143178853934
2015-08-14,2333.212880419947
2015-08-17,2237.78243139916
2015-08-18,2160.224729123867
2015-08-19,2187.3593459440717
2015-08-20,2297.5402049738104
2015-08-21,2187.3548345480503
2015-08-24,2210.16337373397
2015-08-25,2315.4404139074486
2015-08-26,2389.3085357650043
2015-08-27,2406.3344453298573
2015-08-28,2309.0126014947423
2015-08-31,2390.9436946144356
2015-09-01,2507.204222653367
2015-09-02,2725.4967656220642
2015-09-03,2919.4915950377035
2015-09-04,2830.389678865856
2015-09-08,3190.4615181520558
2015-09-09,3088.786623104171
2015-09-10,2983.5460953743755
2015-09-11,3177.2672958023813
2015-09-14,3214.396318407028
2015-09-15,3019.4768825418864
2015-09-16,3301.860688106205
2015-09-17,3217.561008088618
2015-09-18,3474.9681897062214
2015-09-21,3663.062793529155
2015-09-22,3706.2548107939706
2015-09-23,3967.4152886257853
2015-09-24,4595.81828418551
2015-09-25,3614.475649003515
2015-09-28,3602.6016285455926
2015-09-29,4131.7328757754085
2015-09-30,3921.602222997119
2015-10-01,3515.9596042237304
2015-10-02,3901.1073038286468
2015-10-05,3736.110760411597
2015-10-06,3734.3255575732187
2015-10-07,3530.9671236427066
2015-10-08,3572.871975509935
2015-10-09,3234.0336315039954
2015-10-12,3165.9330862034963
2015-10-13,3179.051282103771
2015-10-14,3682.4952314651723
2015-10-15,3393.153302693049
2015-10-16,3331.057807423775
2015-10-19,3740.313245813249
2015-10-20,3633.7020855112532
2015-10-21,3639.7500064419305
2015-10-22,3800.3023860820635
2015-10-23,3668.040561604455
2015-10-26,3587.1781656079825
2015-10-27,3683.3509903219597
2015-10-28,3704.3861538006618
2015-10-29,3585.6971158971546
2015-10-30,3401.1587303259025
2015-11-02,3391.2643144624335
2015-11-03,3420.05074864881
2015-11-04,3033.472821467812
2015-11-05,3110.752115983063
2015-11-06,3000.6293390190185
2015-11-09,2901.1130443797274
2015-11-10,2990.5861200078457
2015-11-11,2806.5529287115537
2015-11-12,2851.7569165491454
2015-11-13,2859.6737083124376
